id,nama,lon,lat,jenis,n_ayam,n_uji,positif,prev,biosekuriti,jarak_pasar
60,Peternakan-060,112.163866,-8.085911,Broiler,2211,39,2,0.051,0.89,7.0
61,Peternakan-061,112.186037,-7.941099,Layer,22147,53,4,0.075,0.46,10.8
62,Peternakan-062,112.144972,-8.094901,Layer,1911,30,3,0.1,0.46,6.4
63,Peternakan-063,112.340058,-8.116674,Layer,4220,33,0,0.0,0.77,24.5
64,Peternakan-064,112.174864,-8.037426,Broiler,6662,50,4,0.08,0.86,0.3
65,Peternakan-065,112.148327,-7.9233,Broiler,19006,50,1,0.02,0.89,11.7
66,Peternakan-066,112.239944,-8.094327,Layer,1902,47,5,0.106,0.73,7.1
67,Peternakan-067,112.099323,-7.995409,Broiler,15215,49,3,0.061,0.46,7.7
68,Peternakan-068,112.330769,-7.974827,Layer,6049,44,3,0.068,0.26,23.2
69,Peternakan-069,112.076093,-8.095343,Layer,2736,34,1,0.029,0.74,12.6
70,Peternakan-070,112.39541,-7.98251,Layer,8684,37,0,0.0,0.59,28.4
71,Peternakan-071,112.320286,-8.06541,Broiler,7036,31,0,0.0,0.5,22.2
72,Peternakan-072,112.11955,-8.00457,Broiler,3712,57,1,0.018,0.83,3.3
73,Peternakan-073,112.051933,-8.004288,Layer,6345,45,7,0.156,0.28,8.6
74,Peternakan-074,112.335411,-8.026772,Broiler,4408,39,1,0.026,0.54,20.6
75,Peternakan-075,112.2974,-8.129233,Broiler,6570,41,1,0.024,0.21,19.3
76,Peternakan-076,112.305153,-7.95788,Broiler,10191,58,0,0.0,0.53,20.0
77,Peternakan-077,112.319945,-8.076221,Layer,21340,30,2,0.067,0.24,15.0
78,Peternakan-078,112.075916,-8.107101,Layer,2229,46,5,0.109,0.28,10.2
79,Peternakan-079,112.175463,-8.140622,Broiler,33055,43,1,0.023,0.28,7.8
80,Peternakan-080,112.090554,-8.014095,Broiler,1259,46,1,0.022,0.65,9.0
81,Peternakan-081,112.352086,-7.99416,Layer,5314,26,1,0.038,0.72,24.0
82,Peternakan-082,112.268154,-8.146185,Layer,9606,56,1,0.018,0.61,15.0
83,Peternakan-083,112.165814,-8.032219,Broiler,7512,58,9,0.155,0.87,1.6
84,Peternakan-084,112.072245,-8.097906,Broiler,3646,45,2,0.044,0.46,8.0
85,Peternakan-085,112.158844,-8.00161,Layer,5080,49,6,0.122,0.4,5.3
86,Peternakan-086,112.163814,-8.109896,Layer,4045,57,1,0.018,0.81,8.7
87,Peternakan-087,112.305362,-7.991084,Layer,3744,50,5,0.1,0.36,16.5
88,Peternakan-088,112.273145,-8.061051,Layer,11839,30,2,0.067,0.87,14.7
89,Peternakan-089,112.360524,-7.934552,Broiler,7983,45,3,0.067,0.21,25.6
90,Peternakan-090,112.215275,-8.11837,Broiler,3447,46,0,0.0,0.88,8.9
